order_book_id,trading_hours,market_tplus,symbol,exchange,abbrev_symbol,round_lot,type,de_listed_date,listed_date,status,index,base_date,base_point,underlying_symbol
931508.INDX,"09:31-11:30,13:01-15:00",0.0,中证浙江省信用债指数,,ZJXYZ,1.0,INDX,0000-00-00,2020-07-01,Active,1752.0,2014-12-31,100.0,
931509.INDX,"09:31-11:30,13:01-15:00",0.0,中证福建省信用债指数,,FJXYZ,1.0,INDX,0000-00-00,2020-07-01,Active,1755.0,2014-12-31,100.0,
931510.INDX,"09:31-11:30,13:01-15:00",0.0,中证湖北省信用债指数,,HBXYZ,1.0,INDX,0000-00-00,2020-07-01,Active,1753.0,2014-12-31,100.0,
931511.INDX,"09:31-11:30,13:01-15:00",0.0,中证四川省信用债指数,,SCXYZ,1.0,INDX,0000-00-00,2020-07-01,Active,1750.0,2014-12-31,100.0,
931512.INDX,"09:31-11:30,13:01-15:00",0.0,中证周期50主题指数,,ZQ50,1.0,INDX,0000-00-00,2020-07-17,Active,1765.0,2004-12-31,1000.0,
931513.INDX,"09:31-11:30,13:01-15:00",0.0,中证公共卫生主题指数,,GGWS,1.0,INDX,0000-00-00,2020-07-07,Active,1756.0,2012-12-31,1000.0,
931514.INDX,"09:31-11:30,13:01-15:00",0.0,中证央企25债券指数,,YQ25Z,1.0,INDX,0000-00-00,2020-07-01,Active,1736.0,2013-12-31,100.0,
931515.INDX,"09:31-11:30,13:01-15:00",0.0,中证0-5年央企25债券指数,,0-5NYQ25,1.0,INDX,0000-00-00,2020-07-01,Active,1739.0,2013-12-31,100.0,
931516.INDX,"09:31-11:30,13:01-15:00",0.0,中证3-7年央企25债券指数,,3-7NYQ25,1.0,INDX,0000-00-00,2020-07-01,Active,1743.0,2013-12-31,100.0,
931517.INDX,"09:31-11:30,13:01-15:00",0.0,中证0-3年银行50金融债指数,,0-3NYH50JRZ,1.0,INDX,0000-00-00,2020-07-01,Active,1737.0,2013-12-31,100.0,
931518.INDX,"09:31-11:30,13:01-15:00",0.0,中证0-5年银行50金融债指数,,0-5NYH50JRZ,1.0,INDX,0000-00-00,2020-07-01,Active,1738.0,2013-12-31,100.0,
931519.INDX,"09:31-11:30,13:01-15:00",0.0,中证3-7年银行50金融债指数,,3-7NYH50JRZ,1.0,INDX,0000-00-00,2020-07-01,Active,1740.0,2013-12-31,100.0,
931521.INDX,"09:31-11:30,13:01-15:00",0.0,中证高端装备细分50指数,,GZXF50,1.0,INDX,0000-00-00,2020-07-08,Active,1760.0,2012-12-31,1000.0,
931522.INDX,"09:31-11:30,13:01-15:00",0.0,中证央企新动能主题指数,,YQXDN,1.0,INDX,0000-00-00,2020-07-01,Active,1754.0,2014-12-31,1000.0,
931523.INDX,"09:31-11:30,13:01-15:00",0.0,中证沪港深动漫游戏指数,,SHSDMYX,1.0,INDX,0000-00-00,2020-07-08,Active,1758.0,2014-11-14,1000.0,
931524.INDX,"09:31-11:30,13:01-15:00",0.0,中证沪港深科技龙头指数,,SHSKJLT,1.0,INDX,0000-00-00,2020-07-16,Active,1762.0,2014-11-14,1000.0,
931525.INDX,"09:31-11:30,13:01-15:00",0.0,中证兴业证券ESG盈利100指数,,XYZQESGYL100,1.0,INDX,0000-00-00,2020-08-06,Active,1791.0,2017-06-30,1000.0,
931526.INDX,"09:31-11:30,13:01-15:00",0.0,中证企业核心竞争力50指数,,QYHXJZL50,1.0,INDX,0000-00-00,2020-08-24,Active,1793.0,2017-06-30,1000.0,
931528.INDX,"09:31-11:30,13:01-15:00",0.0,中证全指光伏设备行业指数,,GFSBHY,1.0,INDX,0000-00-00,2021-08-24,Active,1980.0,2021-12-31,1000.0,
931529.INDX,"09:31-11:30,13:01-15:00",0.0,中证诚通国企数字经济指数,,GQSZJJ,1.0,INDX,0000-00-00,2023-08-04,Active,2322.0,2016-12-30,1000.0,
931530.INDX,"09:31-11:30,13:01-15:00",0.0,中证中国内地企业500能源指数,,NDQYNY,1.0,INDX,0000-00-00,2014-10-17,Active,482.0,2004-12-31,1000.0,
931531.INDX,"09:31-11:30,13:01-15:00",0.0,中证中国内地企业500原材料指数,,NDQYCL,1.0,INDX,0000-00-00,2014-10-17,Active,483.0,2004-12-31,1000.0,
931532.INDX,"09:31-11:30,13:01-15:00",0.0,中证中国内地企业500工业指数,,NDQYGY,1.0,INDX,0000-00-00,2014-10-17,Active,484.0,2004-12-31,1000.0,
931533.INDX,"09:31-11:30,13:01-15:00",0.0,中证中国内地企业500可选消费指数,,NDQYKX,1.0,INDX,0000-00-00,2014-10-17,Active,485.0,2004-12-31,1000.0,
931534.INDX,"09:31-11:30,13:01-15:00",0.0,中证中国内地企业500主要消费指数,,NDQYXF,1.0,INDX,0000-00-00,2014-10-17,Active,486.0,2004-12-31,1000.0,
931535.INDX,"09:31-11:30,13:01-15:00",0.0,中证中国内地企业500医药卫生指数,,NDQYYY,1.0,INDX,0000-00-00,2014-10-17,Active,487.0,2004-12-31,1000.0,
931536.INDX,"09:31-11:30,13:01-15:00",0.0,中证中国内地企业500金融指数,,NDQYJR,1.0,INDX,0000-00-00,2014-10-17,Active,488.0,2004-12-31,1000.0,
931537.INDX,"09:31-11:30,13:01-15:00",0.0,中证中国内地企业500信息技术指数,,NDQYXX,1.0,INDX,0000-00-00,2014-10-17,Active,489.0,2004-12-31,1000.0,
931538.INDX,"09:31-11:30,13:01-15:00",0.0,中证中国内地企业500通信服务指数,,NDQYTX,1.0,INDX,0000-00-00,2014-10-17,Active,490.0,2004-12-31,1000.0,
931539.INDX,"09:31-11:30,13:01-15:00",0.0,中证中国内地企业500公用事业指数,,NDQYGY,1.0,INDX,0000-00-00,2014-10-17,Active,491.0,2004-12-31,1000.0,
931540.INDX,"09:31-11:30,13:01-15:00",0.0,中证中国内地企业1000能源指数,,ZG1000NY,1.0,INDX,0000-00-00,2016-05-10,Active,850.0,2004-12-31,1000.0,
931541.INDX,"09:31-11:30,13:01-15:00",0.0,中证中国内地企业1000原材料指数,,ZG1000CL,1.0,INDX,0000-00-00,2016-05-10,Active,851.0,2004-12-31,1000.0,
931542.INDX,"09:31-11:30,13:01-15:00",0.0,中证中国内地企业1000工业指数,,ZG1000GY,1.0,INDX,0000-00-00,2016-05-10,Active,852.0,2004-12-31,1000.0,
931543.INDX,"09:31-11:30,13:01-15:00",0.0,中证中国内地企业1000可选消费指数,,ZG1000KX,1.0,INDX,0000-00-00,2016-05-10,Active,853.0,2004-12-31,1000.0,
931544.INDX,"09:31-11:30,13:01-15:00",0.0,中证中国内地企业1000主要消费指数,,ZG1000XF,1.0,INDX,0000-00-00,2016-05-10,Active,854.0,2004-12-31,1000.0,
931545.INDX,"09:31-11:30,13:01-15:00",0.0,中证中国内地企业1000医药卫生指数,,ZG1000YY,1.0,INDX,0000-00-00,2016-05-10,Active,855.0,2004-12-31,1000.0,
931546.INDX,"09:31-11:30,13:01-15:00",0.0,中证中国内地企业1000金融指数,,ZG1000JR,1.0,INDX,0000-00-00,2016-05-10,Active,856.0,2004-12-31,1000.0,
931547.INDX,"09:31-11:30,13:01-15:00",0.0,中证中国内地企业1000信息技术指数,,ZG1000XX,1.0,INDX,0000-00-00,2016-05-10,Active,857.0,2004-12-31,1000.0,
931548.INDX,"09:31-11:30,13:01-15:00",0.0,中证中国内地企业1000通信服务指数,,ZG1000TX,1.0,INDX,0000-00-00,2016-05-10,Active,858.0,2004-12-31,1000.0,
931549.INDX,"09:31-11:30,13:01-15:00",0.0,中证中国内地企业1000公用事业指数,,ZG1000GY,1.0,INDX,0000-00-00,2016-05-10,Active,859.0,2004-12-31,1000.0,
931550.INDX,"09:31-11:30,13:01-15:00",0.0,中证中国内地企业500动量指数,,NDQYDL,1.0,INDX,0000-00-00,2016-12-28,Active,981.0,2006-12-29,1000.0,
931551.INDX,"09:31-11:30,13:01-15:00",0.0,中证中国内地企业500等风险加权指数,,NDQYERC,1.0,INDX,0000-00-00,2016-12-28,Active,982.0,2006-12-29,1000.0,
